name ,main_category ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd pledged 
Tales of Mythica: Assertion (Canceled),Games,29/05/2014 19:06,150000,09/04/2014 19:06,2641,canceled,31,US,2641
Site turns school work into a supercharged social experience,Technology,24/02/2015 18:18,93770,05/01/2015 18:18,5000,canceled,1,US,5000
"C.Slack ""Appetizer E.P"" | 2016 E.D.M and Hip-Hip",Music,17/12/2015 16:31,2500,17/11/2015 16:31,0,failed,0,US,0
A Special Family - picture book for children in the military,Publishing,01/06/2014 05:00,8000,28/04/2014 15:34,8350,successful,33,US,8350
Press Blackburn's Various Deficiencies Vol. 2 on Vinyl,Music,01/10/2011 00:00,2500,31/08/2011 10:14,1002,failed,29,US,1002
Pollo Don Pedro,Food,12/11/2014 00:07,15000,13/09/2014 00:07,0,failed,0,US,0
Afghanistan: Between Life and War,Photography,07/12/2013 10:36,17000,07/11/2013 10:36,19455,successful,206,US,19455
Let's go Dutch - the video,Music,29/12/2015 04:29,3000,29/11/2015 04:29,230,failed,2,GB,347.1347059
Fave: the ideal all-purpose knife!,Design,06/05/2015 02:00,1000,01/04/2015 12:41,77603,successful,883,US,77603
Chicago Transit Project,Art,11/09/2014 01:00,3999,27/08/2014 17:11,4399.4,successful,91,US,4399.4
THE BIG BEAT: The Story Of Fats Domino & His Band,Film & Video,14/10/2013 17:22,20000,15/08/2013 17:22,23062,successful,209,US,23062
NO YOKE!     Pysanky,Art,01/04/2015 18:45,3500,27/02/2015 00:44,62,failed,1,US,62
Send Washington Master Chorale to Chorus America!,Music,05/04/2014 14:13,15000,08/03/2014 14:13,16386,successful,167,US,16386
"Skateboard Art - Pluto Boards. New company, female owned art",Art,15/12/2016 19:04,10000,15/11/2016 19:04,0,live,0,US,0
Kid Fixis: Promoting Sarasota's Visual Art with Music,Art,22/12/2013 03:30,5000,22/11/2013 03:30,172,failed,5,US,172
CUER: the UK's number one solar car team,Technology,06/01/2013 01:00,10000,28/11/2012 00:42,10524.1,successful,192,GB,16862.70744
Intermission,Film & Video,27/07/2016 19:03,87000,27/06/2016 19:03,2290,failed,33,US,1075
Five Million People. One Book.,Publishing,20/01/2011 04:32,3000,21/11/2010 04:32,4050,successful,51,US,4050
W. Three - Second Amd Guns T-Shirts (Canceled),Fashion,01/06/2013 00:32,3500,02/04/2013 00:32,132,canceled,3,US,132
Funding my 1st Book (Canceled),Publishing,05/09/2013 16:21,400,06/08/2013 16:21,35,canceled,2,GB,53.4697268
The Perverted Alien (Slasher Film),Film & Video,05/12/2013 23:06,100,05/11/2013 23:06,10,failed,1,US,10
A Hangover With Pim,Games,07/10/2015 19:02,10000,07/09/2015 19:02,123,failed,4,IT,137.1278735
In Exchange for a Life: A Syringe Exchange Documentary,Film & Video,09/11/2011 22:28,12000,10/10/2011 22:28,14114,successful,199,US,14114
A man on a mission,Music,01/02/2012 08:59,3000,01/01/2012 22:39,160,failed,7,US,160
FC Tidewater Sharks - a new team for the WPSL,Film & Video,03/07/2012 17:30,35000,19/06/2012 17:30,10,failed,1,US,10
TRADITION TOUR 2011,Art,21/04/2011 09:14,900,19/02/2011 09:14,2049,successful,52,US,2049
The suspended ceiling table,Design,08/01/2015 01:33,65000,09/12/2014 01:33,2,failed,2,AU,1.67011824
Publish two coffee table books by Michael Stokes,Photography,24/08/2016 20:00,48250,03/08/2016 15:36,275269,successful,1860,US,30629
Ethel the Aardvark Goes Quantity Surveying (Canceled),Film & Video,02/08/2015 06:33,55000,02/07/2015 06:33,12125,canceled,83,US,12125
Eat the Pretty Ones,Film & Video,28/05/2011 21:48,10000,28/03/2011 21:48,0,failed,0,US,0
Cruelty Free Kitchen,Food,26/10/2014 13:05,2000,26/09/2014 16:46,2045,successful,52,US,2045
Smart Wallet: Locator & Charger a Fashionable Tech Accessory,Technology,08/09/2014 04:03,35000,06/08/2014 04:03,36237,successful,315,US,36237
Red Hen Press Twentieth Anniversary Anthology,Publishing,02/10/2013 02:00,35000,03/08/2013 02:01,2420.55,failed,20,US,2420.55
HydroLife Garden: The Clean Garden that Saves Water,Design,07/08/2015 17:46,27500,07/07/2015 17:46,3825,canceled,13,US,3825
ELLA the Movie,Film & Video,08/07/2014 05:59,5000,24/06/2014 03:14,9018,successful,48,US,9018
"Welded Creatures, Sculptures and More!",Art,22/11/2014 14:49,500,23/10/2014 14:49,5,failed,1,US,5
An Agent Wants to Read My Novel Tip of the Spear!,Publishing,03/01/2013 02:29,650,04/12/2012 02:29,31,failed,3,US,31
Embedded,Film & Video,12/04/2013 18:49,10500,13/03/2013 17:49,11150,successful,181,US,11150
Project-Based Personal Finance,Publishing,29/08/2016 08:59,2000,22/07/2016 20:10,136,failed,4,US,60
English Diction and Enunciation for North American Singers,Publishing,24/12/2013 16:06,1500,24/11/2013 16:06,1765,successful,38,US,1765
MY AMERICAN GAME - You Only Live Once...make it count!,Games,01/05/2012 04:00,50000,01/04/2012 04:09,28755,canceled,83,US,28755
Learned Monkey Bagels,Food,27/08/2012 21:31,20000,18/07/2012 21:31,8322,failed,87,US,8322
D.Adventure Automatic Watches,Design,14/01/2017 17:03,200000,05/12/2016 17:03,27926,live,15,HK,3600.928123
Let 100 Detroiters Tell You Their Story,Film & Video,01/02/2010 05:59,8500,22/11/2009 21:09,35,failed,2,US,35
Freeway Warrior,Games,07/07/2016 03:15,50000,07/06/2016 03:15,293485,successful,283,SE,36007.41932
Rise Up Official KickStarter Trailer,Film & Video,24/10/2013 17:41,25000,24/09/2013 17:41,50,failed,1,US,50
Life Interrupted - a new scripted comedy series,Film & Video,15/11/2014 23:59,38000,06/10/2014 23:59,38081.01,successful,114,US,38081.01
The Lemonade Bakery,Food,02/05/2015 22:07,25000,02/04/2015 22:07,18354,failed,117,US,18354
Swizzle Stik,Design,17/05/2012 17:50,16500,17/04/2012 17:50,9116,failed,250,US,9116
Sets for Noel Coward's The Vortex,Theater,06/06/2012 19:56,3000,07/05/2012 19:56,10,failed,1,US,10
Seed CPP's production of GOLDEN CHILD by DH Hwang,Theater,01/01/2012 05:59,2000,05/12/2011 05:31,2215,successful,57,US,2215
WANTED: Son Of A Gun teddy bear outlaw,Photography,10/08/2014 19:53,10,11/07/2014 19:53,0,failed,0,GB,0
"Support these ""Disgusting Bachelors"" !",Film & Video,19/08/2011 23:54,5262,20/07/2011 23:54,6792,successful,62,US,6792
The Boss Planner: An Outspoken Guide to Getting Shit Done,Publishing,30/10/2016 17:00,18286,30/09/2016 18:00,21421,successful,390,US,8241
CATtv: A Short Comedy by Quinnipiac Film Students,Film & Video,13/12/2013 15:51,2000,08/11/2013 15:51,2190.01,successful,36,US,2190.01
"B.Arren, LLC",Fashion,07/03/2015 21:09,30000,05/02/2015 21:09,35,failed,1,US,35
The 'throw an egg at my brother' Challenge!,Art,12/02/2015 23:29,15000,13/01/2015 23:29,7,failed,3,GB,10.61809448
The Anime Emporium,Comics,08/05/2016 20:40,10000,08/04/2016 20:40,27,failed,4,CA,20.63142873
Help make Big Phony's 6th Album,Music,05/02/2016 07:44,12000,22/01/2016 07:44,18500,successful,167,US,18500
We're Not So Different After All,Publishing,01/04/2015 08:59,15000,01/03/2015 14:31,17588,successful,204,US,17588
Wind Spiele,Film & Video,10/01/2016 21:39,400,03/12/2015 00:28,545,successful,9,DE,576.6323178
Cohalen's Journey (Canceled),Publishing,23/07/2011 17:04,15000,23/06/2011 17:04,50,canceled,2,US,50
"Maverick, the album by WildBill",Music,18/07/2015 23:29,200000,19/05/2015 23:29,1,failed,1,US,1
A Dark Skinnned Womanís Revenge a solo play,Theater,06/09/2013 01:00,7000,19/07/2013 00:09,20,failed,1,US,20
Vietnam,Food,17/11/2016 08:52,100000,19/10/2016 08:52,0,failed,0,HK,0
Life is Weird... the book,Publishing,09/12/2014 22:31,2100,28/10/2014 21:31,660,failed,19,US,660
An Artist's Landscape (Working Title),Film & Video,19/03/2016 20:00,750,01/03/2016 11:48,1101,successful,22,GB,1524.987778
Three Little Monkeys Celebrate Christmas with their Mommies,Publishing,12/09/2013 18:41,4600,13/08/2013 18:41,0,failed,0,US,0
The CanvAs Project,Film & Video,10/09/2013 11:24,28260,11/08/2013 11:24,0,failed,0,GB,0
Open Robotics Design Platform,Technology,25/05/2016 17:50,10000,25/04/2016 17:50,2253,failed,35,US,2253
Leonard's Girlfriend is Dead,Film & Video,01/05/2010 11:25,500,21/04/2010 01:02,1005,successful,27,US,1005
Kandahar Tag's             Modern Art from the Battlefield,Art,09/12/2013 15:33,20000,10/10/2013 15:33,425,canceled,9,US,425
Ocean Air Shots,Photography,25/10/2014 15:58,800,25/09/2014 15:58,0,failed,0,US,0
GBS Detroit Presents Half Light Music,Music,02/06/2012 05:59,600,14/05/2012 20:43,935,successful,21,US,935
The Hymns Project,Music,01/05/2013 06:59,150000,03/04/2013 00:17,3635,failed,18,US,3635
A Self-Help Book for the Leaders of the Next US Revolution,Publishing,18/05/2012 19:56,40000,03/04/2012 19:56,9758.05,failed,136,US,9758.05
CHOICES,Film & Video,26/06/2011 02:55,5925,19/05/2011 03:46,968,failed,18,US,968
"""YESTERDAY'S TICKET"" - a love story between a father and son",Film & Video,21/08/2012 00:00,25000,22/06/2012 02:44,465,failed,13,US,465
Coffee Table Photo Binder of 'Black & White' Vintage Imagery,Photography,03/06/2014 07:52,2200,04/05/2014 07:52,0,failed,0,US,0
Good Day Beer (Canceled),Food,13/08/2014 23:50,30000,14/07/2014 23:50,0,canceled,0,CA,0
WildFlower- A plant based pop-up restaurant by Chef Ayinde,Food,17/05/2011 03:13,17000,19/04/2011 05:46,17159.55,successful,162,US,17159.55
Fork Boys,Music,17/05/2016 18:40,2000,18/03/2016 17:40,3,failed,3,US,3
Interaction : making the paranormal normal,Publishing,02/08/2016 01:56,5000,03/06/2016 01:56,500,failed,8,US,475
"Help us finish our new CD ""Blanket Over Me""",Music,28/01/2014 01:03,1600,03/01/2014 01:03,2255,successful,46,US,2255
The Grump King (Children's Book),Publishing,01/08/2016 21:32,10000,02/07/2016 21:32,10038,successful,105,US,2515
Imagination Studio,Technology,01/04/2015 23:54,100000,02/03/2015 23:54,256,failed,4,CA,204.6395622
Coconut Oil Bath Bombs,Crafts,10/09/2016 23:17,2000,11/08/2016 23:17,180,canceled,10,CA,133.7051608
"ZiPAC : Cable and Case in One for iPhone, Android and More",Design,26/01/2014 00:46,45000,27/11/2013 00:46,8845,failed,289,CA,8386.342525
glow in the dark horseshoe game,Games,30/06/2015 23:50,15000,01/06/2015 06:01,30,failed,3,US,30
"BitGym: Interactive trails, tours and classes",Design,22/09/2013 03:00,30000,13/08/2013 19:16,37049,successful,511,US,37049
Women's Expression through Bathroom Graffiti,Photography,02/04/2014 19:56,1500,03/03/2014 19:56,300,failed,2,US,300
My Dream of Writing Kids Books (Canceled),Publishing,22/07/2014 16:49,20500,14/07/2014 16:49,0,canceled,0,US,0
ailsarocks - Combining fashion and gaming.,Fashion,26/01/2014 19:39,5000,27/11/2013 19:39,21,failed,2,GB,33.92185062
River rock accent mats,Crafts,13/07/2015 05:26,500,08/07/2015 05:26,22,failed,2,US,22
Steam Vegetables fast and quickly with a Micro-Steamer,Food,21/12/2014 08:49,15000,21/11/2014 08:49,0,failed,0,US,0
Happy Hour With Tay & Samira,Journalism,31/07/2015 06:00,200,03/06/2015 18:25,0,failed,0,US,0
"The Devil's Pool Comic - Issue #1 ""The Ground You Stand On""",Comics,08/05/2013 05:18,2800,09/04/2013 21:24,3759.51,successful,99,US,3759.51
Electric Future,Technology,28/05/2015 03:51,10500,28/04/2015 03:51,102,failed,4,AU,79.78823214
Awesome Distraction's 3rd Studio Album,Music,04/02/2016 23:08,3500,05/01/2016 23:08,3645,undefined,0,"N,""0",
My Friend Death #3,Comics,20/08/2014 14:00,250,30/07/2014 23:49,367,successful,13,US,367
Fleek Squad - The $wang Mixtape,Music,11/11/2015 20:51,52,12/10/2015 20:51,0,failed,0,GB,0
Sportball Manager,Games,26/03/2015 23:28,15000,25/02/2015 00:28,3131,failed,42,US,3131
OVERSIZED Two,Dance,07/06/2011 16:20,400,15/05/2011 23:43,475,successful,15,US,475
Let's get a demo cd made!!!,Music,16/10/2010 04:07,550,16/09/2010 04:07,0,failed,0,US,0
Shirts Shirts Shirts (Canceled),Fashion,08/08/2014 17:38,10000,09/07/2014 17:38,0,canceled,0,US,0
Hybrid House:  A Zero Net Grid-Electric Retrofit Demo,Technology,20/12/2014 14:49,50000,22/11/2014 18:50,2610,failed,5,US,2610
The God Circle: The Search for the Logical Christian Faith,Publishing,06/02/2012 03:09,1000,07/01/2012 03:09,1088,successful,23,US,1088
HELP CREATE ROBERT GILLIES' NEW RECORD!,Music,18/04/2011 11:17,5500,27/03/2011 11:17,5644.84,successful,74,US,5644.84
okular,Technology,02/08/2014 13:04,10000,03/07/2014 13:04,50,failed,2,US,50
2014 Black Star Dawn Patrol,Technology,11/09/2014 23:53,1500,12/08/2014 23:53,150,failed,5,US,150
Swing the Fly Magazine,Publishing,22/12/2015 08:59,15000,30/11/2015 15:58,19556,successful,205,US,19556
Pillow Talk - Le Grind. A new pop / dance music video,Music,18/05/2015 15:32,500,18/04/2015 15:32,501,successful,12,GB,747.9398088
"""TALL MOUNTAIN"": New Album by Seattle's GEMS",Music,30/12/2012 22:05,4000,30/11/2012 22:05,4880,successful,62,US,4880
Rock And A Hard Place,Film & Video,17/01/2014 03:00,50000,11/12/2013 23:58,65747.16,successful,399,US,65747.16
Project Zombie -Medieval Meets Zombies-,Film & Video,05/07/2012 00:14,550,05/06/2012 00:14,50,failed,1,US,50
Grand Piano for children,Music,10/07/2015 00:26,20000,10/06/2015 00:26,11,failed,2,US,11
KUSGAN (Documentary of a Filipino Hero),Film & Video,02/08/2012 08:00,6000,11/07/2012 03:33,6963,successful,74,US,6963
Erg - an inspirational journey into the heart of emptiness,Art,20/03/2016 15:31,6500,19/02/2016 16:31,6665,successful,41,US,6665
"""What I Learned from Cancer"":  a publishing project",Publishing,13/05/2014 07:16,8000,12/04/2014 07:16,9077,successful,103,CA,8307.577112
Season 1 of NYC Glitters,Film & Video,01/12/2011 05:49,6000,14/10/2011 20:16,1336,failed,59,US,1336
Wearable Kingdom - Costumes & Kids Wearables,Crafts,15/09/2016 15:53,500,26/08/2016 15:53,10,failed,1,US,0
3D scanner,Technology,14/08/2015 11:56,110000,15/06/2015 11:56,16,failed,3,US,16
The Gilded Cage - A Gothic Steampunk Operetta,Theater,03/04/2015 03:52,5000,05/03/2015 01:47,5001,successful,15,NZ,3765.884126
The Alien,Film & Video,12/01/2016 20:04,25000,13/12/2015 20:04,135,failed,2,US,135
Canyon Kids Record Double EP at the Pink Garter,Music,03/09/2013 19:04,4000,13/08/2013 19:04,4101,successful,45,US,4101
Life Screwed Up,Publishing,30/03/2015 22:00,3500,15/03/2015 21:00,0,failed,0,US,0
Capturing the sky's and stars from Northumberland UK,Photography,24/11/2015 14:03,1000,25/10/2015 13:03,10,failed,1,GB,15.3133729
Allegiance: A Realm Divided,Games,29/04/2014 04:00,50000,26/03/2014 19:23,83614,successful,1011,CA,74656.0902
Real Estate Made EZ,Technology,20/09/2014 19:45,4500,16/08/2014 02:40,0,failed,0,US,0
Be a Hero! Help Super Giomar X Autism Art Projects,Art,08/08/2014 20:41,50,09/07/2014 20:41,86,successful,5,US,86
Mutant Meeples,Games,04/12/2011 08:59,10000,26/10/2011 00:09,14329,successful,175,US,14329
Mobile Mortar (Canceled),Games,27/12/2014 08:03,10000,28/10/2014 07:03,0,canceled,0,AU,0
The Banks Brandô,Fashion,21/04/2015 18:46,25000,20/02/2015 18:46,0,failed,0,US,0
FBA Master Online Selling Book #1 - Selling on Amazon,Publishing,09/03/2015 00:38,1000,07/02/2015 01:38,1680,successful,49,US,1680
'A little or a lot' (5-Song Album),Music,02/07/2016 02:08,3000,03/05/2016 02:08,3010,successful,25,US,3010
Secrets of InGen: A Jurassic Park prequel fanfilm,Film & Video,13/11/2011 00:13,8000,29/09/2011 00:13,0,failed,0,US,0
Prekarious Tees,Fashion,17/09/2016 06:00,1000,02/09/2016 18:31,33,failed,3,US,0
AeroTrunk:   Modern luggage trunk with drawers (Canceled),Design,29/08/2015 23:00,50000,15/07/2015 21:35,3662,canceled,12,US,3662
Asylum of Torture (haunted house) Expansion,Theater,16/09/2015 23:10,500,26/08/2015 23:10,58,failed,5,US,58
Quattro Di Cuori - Road To Cannes 2017,Film & Video,21/11/2016 00:05,2000,22/10/2016 00:05,203,failed,13,IT,1.09793588
Elvenroot Collapsible Dice Tower & Dice Case,Games,09/06/2016 21:14,15000,10/05/2016 21:14,29206,successful,194,US,29206
UN-Official NO-Access PLAYA PASS,Design,12/08/2011 13:35,200,03/07/2011 13:35,376.77,successful,42,US,376.77
Help us get to D&AD New Blood?,Design,28/02/2015 17:00,300,16/01/2015 12:39,373,successful,23,GB,568.3428453
Alexis Gideon - Video Musics II: Sun Wu-Kong,Music,15/10/2010 19:30,750,11/09/2010 00:58,795,successful,22,US,795
28mm Steampunk Inspired Heavy Weapons & Carriage Miniatures,Games,05/05/2013 18:36,600,05/04/2013 18:36,7295,successful,140,GB,11039.53196
"Bedlam Rep Presents ""Not About Heroes""",Theater,30/06/2010 23:00,5000,02/04/2010 15:00,150,failed,4,US,150
PIAZZA Italian Restaurant's Wood-Fired Pizza Oven Project,Food,02/07/2013 00:00,15000,16/05/2013 18:06,5020,failed,14,US,5020
How Lion Became King of Tinga Tinga Land (Canceled),Publishing,07/12/2013 20:50,2000,28/10/2013 20:50,371,canceled,34,GB,599.8567443
"Produce a ""Mean"" Feature Film",Film & Video,25/07/2009 02:00,6000,15/07/2009 21:14,9610,successful,10,US,9610
Havana Spice fast casual Cuban cafe,Food,31/05/2013 21:00,5000,16/05/2013 18:55,434,failed,7,US,434
Waking Dreams: vibraphonist Chris Dingman's debut album,Music,18/01/2011 16:00,4000,12/12/2010 16:34,5195,successful,73,US,5195
Artificial Intelligence Architecture,Publishing,14/11/2013 18:36,1000,15/10/2013 18:36,70,failed,2,GB,111.8350212
XML Games,Games,19/06/2013 19:48,2000,20/05/2013 19:48,378,failed,13,GB,573.8889631
LEGENDARY MONSTERS: Toys of Urban Legend and Folklore,Design,09/03/2013 20:36,25000,05/02/2013 20:36,14865,failed,174,US,14865
Horse Medicine . . . The Journey,Film & Video,13/05/2014 04:00,40000,03/04/2014 16:47,4538.44,failed,55,US,4538.44
LE[G]END CLOTHING (Canceled),Fashion,08/06/2012 01:25,2500,09/05/2012 01:25,30,canceled,1,US,30
1b (Canceled),Film & Video,09/11/2013 22:28,25000,16/10/2013 22:28,2270,canceled,17,US,2270
The Walk Across North Dakota,Journalism,04/05/2011 16:04,850,04/04/2011 16:04,1155,successful,32,US,1155
Primates: Amazing Behaviors Caught on Tape,Film & Video,21/10/2012 07:59,90000,20/09/2012 18:23,60,failed,3,US,60
My Day... A Long Distance Lullaby,Publishing,28/10/2015 23:36,500,30/08/2015 00:36,1917,successful,42,US,1917
A Natural History of the Fantastic,Publishing,28/07/2015 00:30,4000,28/06/2015 00:30,12674,successful,199,US,12674
Postcard from the Falls,Photography,12/11/2012 01:06,750,13/10/2012 01:06,7,failed,1,US,7
The $1 Play What You Want Mystery Campaign RPG Project,Games,17/12/2015 21:01,1,17/11/2015 20:32,4773.91,successful,1499,US,4773.91
Paint Abstract With Light,Art,09/03/2015 21:28,300,12/02/2015 22:28,687,successful,23,US,687
The Electromagnetic Particle Accelerator Technology,Technology,14/05/2015 14:53,200000,14/04/2015 14:53,0,failed,0,US,0
RHYTHMAGIC,Music,11/04/2012 06:59,3000,20/02/2012 20:26,175,failed,5,US,175
Scott Straka Art: The Book,Art,06/07/2015 04:00,300,22/06/2015 18:03,1638,successful,39,US,1638
Rock Star!,Publishing,05/11/2014 23:56,7000,06/10/2014 23:56,7282,successful,97,US,7282
WarHost Games,Games,26/03/2016 18:34,1000,25/02/2016 19:34,23,failed,5,US,23
Launch 'Evan Michael Industry' into the Fashion World!,Fashion,17/10/2012 21:45,6500,07/09/2012 21:45,6520,successful,45,US,6520
Custom Skincare Shop,Design,15/09/2016 01:16,10000,11/08/2016 01:16,6672,failed,27,AU,160.2075069
ChildrenFirstGambit,Film & Video,16/11/2015 04:00,25000,14/10/2015 02:34,280,failed,4,US,280
Flaulis Clothing or Fashions,Fashion,18/05/2016 00:50,15000,18/04/2016 00:50,1,failed,1,US,1
Blackwood e-Journal App,Publishing,03/09/2014 22:53,50000,04/08/2014 22:53,90,failed,3,US,90
Ebony's Blade Animated 2/3,Film & Video,25/12/2011 10:15,1000,26/10/2011 10:15,25,failed,1,US,25
HELLAS: Action Deck,Games,05/07/2011 21:16,3600,05/06/2011 21:16,2333,failed,53,US,2333
FERN: Handcrafted American Furniture (Canceled),Design,23/09/2011 20:13,7000,09/08/2011 20:13,0,canceled,0,US,0
KnowFuture.org,Technology,06/06/2016 04:52,1500,22/04/2016 04:52,1,failed,1,US,1
The History Boys at USC,Theater,11/01/2015 21:53,4000,22/12/2014 21:53,4005,successful,33,US,4005
John brings Tanzania to New York,Art,17/02/2014 22:46,8000,18/01/2014 22:46,3920,failed,20,US,3920
The Army Wives Movie,Film & Video,12/06/2015 19:12,35000,13/04/2015 19:12,25,failed,1,US,25
Fallen Guardian Angels - Educating Our Future!,Film & Video,27/08/2011 01:29,5000,29/05/2011 01:29,125,failed,2,US,125
FRANK,Design,23/03/2012 14:22,3000,02/02/2012 15:22,23728,successful,863,US,23728
Die-Cut Vinyl Stickers (of a Girl I had a Crush On),Art,13/06/2013 04:02,250,14/05/2013 04:02,15,canceled,2,US,15
The Shadow War Project,Theater,14/09/2012 06:46,1000,15/08/2012 06:46,1136,successful,36,US,1136
"RAQUELA: CD, Video and Beyond",Music,07/02/2013 09:00,13000,11/12/2012 00:07,1630,failed,19,US,1630
WHEEL OF FORTUNE - Solar outpost.... plus,Art,06/08/2014 19:58,4000,01/08/2014 19:58,1421,failed,25,US,1421
"Pursuit Magazine, Keeping the Press Free!",Publishing,02/02/2012 20:11,20000,04/12/2011 20:11,0,failed,0,US,0
BE BETTER: Urban Foxes - Edinburgh Festival (Fringe),Theater,18/07/2015 23:18,1300,23/06/2015 23:18,1644,successful,34,GB,2611.878647
Karim - Outsider,Comics,08/03/2015 01:25,2000,01/02/2015 01:25,2031,successful,31,CA,1609.991938
A comical journey into the minds of the Eruchalu's,Film & Video,01/07/2015 22:32,10000,01/06/2015 22:32,0,failed,0,US,0
"""Jersey Pawn"" Show",Film & Video,26/04/2015 22:27,8000,25/03/2015 21:27,0,failed,0,US,0
Flight of Fire Ignites the Skies With Their New Album!,Music,08/09/2012 04:28,2400,09/08/2012 04:28,2845,successful,39,US,2845
Rescue Net,Technology,14/11/2015 01:19,300000,16/10/2015 19:28,0,failed,0,US,0
Perris Cole Music,Music,10/03/2015 02:24,6000,08/02/2015 03:24,0,failed,0,US,0
Adventures of Permaculture Willi: The Glowing Labyrinth,Film & Video,16/07/2014 14:50,8750,16/06/2014 14:50,22,failed,3,US,22
THE COMMUNICATION: DESTINATION 102,Film & Video,19/12/2013 18:54,15000,19/11/2013 18:54,0,failed,0,CA,0
apps for android and google.safety first and very innovative,Technology,11/10/2014 23:49,40000,12/08/2014 23:49,15,failed,1,CA,13.66987965
Battle Realm - Real Tanks Online Game,Games,20/08/2016 19:36,150000,21/07/2016 19:36,501,failed,2,US,0
The Arduino Compatible 4x4 Keypad Matrix Processor Set,Technology,23/04/2014 23:58,2000,24/03/2014 22:58,2337,successful,36,CA,2082.783757
The revolutionary T-shirt that makes you look better | MORPH,Fashion,21/08/2016 06:31,12000,22/07/2016 06:31,21556,successful,327,BE,946.549727
My Third Studio Album,Music,29/12/2010 00:33,20000,30/09/2010 00:33,0,failed,0,US,0
Forever Indebted,Music,12/10/2012 06:59,5000,28/08/2012 05:01,50,failed,5,US,50
The Lost Treasures of Lady Goldfish,Games,31/08/2014 02:36,350,01/08/2014 02:36,360,successful,11,US,360
Air Freshener by Air Spice (Canceled),Design,12/11/2015 22:29,2000,13/10/2015 22:29,436,canceled,4,CA,337.2723039
Joe Morton's Debut Ep (Canceled),Music,16/07/2014 02:56,12000,16/06/2014 02:56,100,canceled,2,NZ,86.673664
"LoLGuidance, an expert system for League of Legends",Games,28/03/2014 01:15,50000,26/02/2014 02:15,8,failed,3,US,8
"The Pearl - Pleasance Courtyard, Edinburgh Festival Fringe",Theater,18/07/2013 21:13,3000,18/06/2013 21:13,3075,successful,75,GB,4831.039297
Hatched Handmade Baby Carriers- A Baby Wearing Start Up,Design,16/06/2016 23:21,3000,17/05/2016 23:21,3505,successful,32,US,3505
Screen the movie SICK & SICKER in New Hampshire,Film & Video,03/10/2011 22:45,1400,20/09/2011 23:00,0,failed,0,US,0
Dual Comfort Blanket,Design,20/12/2013 00:48,25000,21/10/2013 00:48,560,failed,10,US,560
"Derivatives - Collin Shook Trio's Debut, All Original Album",Music,08/05/2012 18:54,500,17/04/2012 18:54,850,successful,24,US,850
Expanding My Lost Wax Jewelry Collection for Trade Show 2012,Fashion,15/07/2012 01:52,5000,15/06/2012 01:52,5291.5,successful,49,US,5291.5
"The ""Write"" Direction - {A Songwriter's Journey}",Music,13/05/2015 06:00,2500,28/04/2015 23:58,0,undefined,0,"N,""0",
The Craft Beer Kitchen,Food,22/11/2013 00:15,500,08/11/2013 00:15,726,successful,21,US,726
Davis Leatherworks - Card Wallets,Fashion,18/12/2015 22:15,2000,18/11/2015 22:15,983,failed,27,US,983
Super Famicom: The Box Art Collection (Canceled),Games,28/09/2014 16:20,27000,29/08/2014 16:20,21844.84,canceled,699,GB,36247.55042
All New Adventures of Morph from Aardman Animations,Film & Video,28/11/2013 20:00,75000,29/10/2013 15:04,110648.81,successful,2654,GB,179067.7216
"White-Key, A Short Film by Nicholas Becher",Film & Video,16/05/2015 20:40,5000,16/04/2015 20:40,5506,successful,49,US,5506
Jackson Ruby: The Cassette Album,Music,11/05/2016 19:29,5000,11/04/2016 19:29,5296,successful,0,"N,""0",
15 (5ifteen),Film & Video,02/10/2015 22:29,18000,02/09/2015 22:29,356,failed,4,US,356
CHASING BACCHUS - A new wine and travel show for the web and television (Canceled),Film & Video,15/02/2010 18:39,12000,30/12/2009 01:29,0,canceled,0,US,0
"Norse, of Course! Odur - Book 4 (Canceled)",Publishing,21/05/2014 21:55,2000,21/04/2014 21:55,200,canceled,4,US,200
The T.A.G. Art Company,Art,19/01/2014 06:00,50000,26/11/2013 23:36,100,failed,1,US,100
"The Walking Dead, Must Survive!!",Games,27/12/2015 18:59,100000,28/10/2015 17:59,15,failed,2,US,15
Hog City Cereal Bar,Food,04/09/2014 18:19,40000,05/08/2014 18:19,0,failed,0,US,0
i am not a good enough feminist,Art,09/04/2011 23:15,2000,09/03/2011 23:15,2413,successful,59,US,2413
CANNON FODDER- First ever Zombie action movie from Israel,Film & Video,18/12/2011 17:55,15000,03/11/2011 16:55,1461,failed,13,US,1461
Shoot the Pier- A true Maine surf story,Film & Video,09/04/2012 00:35,5000,10/03/2012 00:35,2201,failed,42,US,2201
Ridgewood 11385: A Live Performance Art Piece.,Art,11/02/2013 05:59,1500,01/02/2013 00:56,1716,successful,34,US,1716
Leon Claxton's Harlem in Havana - Production Campaign,Film & Video,23/08/2012 03:10,2000,24/06/2012 03:10,203,failed,4,US,203
Our Single Lives .Com - The Webseries,Film & Video,01/02/2013 08:59,20000,14/12/2012 22:34,3040,failed,43,US,3040
Sketches Before They Were Cool,Art,20/06/2013 20:31,25,30/05/2013 20:31,864,successful,35,US,864
Print Action Anthology,Comics,15/05/2014 23:28,400,15/04/2014 23:28,75,failed,4,US,75
500MICS Distribution,Music,10/08/2015 02:29,3675,11/07/2015 02:29,650,failed,14,US,650
